timestamp(ms),Air Temp,
"1741877437.242","26.77",
"1741877438.241","26.78",
"1741877439.242","26.78",
"1741877440.243","26.8",
"1741877441.244","26.77",
"1741877442.245","26.78",
"1741877443.246","26.79",
"1741877444.247","26.8",
"1741877445.249","26.78",
"1741877446.249","26.78",
"1741877447.25","26.79",
"1741877448.251","26.78",
"1741877449.256","26.78",
"1741877450.253","26.78",
"1741877451.254","26.78",
"1741877452.255","26.77",
"1741877453.256","26.78",
"1741877454.274","26.77",
"1741877455.259","26.78",
"1741877456.259","26.78",
"1741877457.26","26.79",
"1741877458.261","26.79",
"1741877459.262","26.79",
"1741877460.263","26.77",
"1741877461.269","26.77",
"1741877462.269","26.79",
"1741877463.266","26.79",
"1741877464.267","26.77",
"1741877465.268","26.78",
"1741877466.279","26.79",
"1741877467.27","26.77",
"1741877468.272","26.77",
"1741877469.273","26.81",
"1741877470.274","26.78",
"1741877471.275","26.77",
"1741877472.287","26.78",
"1741877473.277","26.78",
"1741877474.278","26.8",
"1741877475.279","26.79",
"1741877476.28","26.78",
"1741877477.282","26.78",
"1741877478.289","26.79",
"1741877479.286","26.8",
"1741877480.284","26.8",
"1741877481.285","26.78",
"1741877482.286","26.79",
"1741877483.287","26.79",
"1741877484.293","26.79",
"1741877485.294","26.8",
"1741877486.29","26.78",
"1741877487.291","26.77",
"1741877488.292","26.79",
"1741877489.293","26.79",
"1741877490.306","26.78",
"1741877491.295","26.79",
"1741877492.296","26.79",
"1741877493.298","26.79",
"1741877494.299","26.81",
"1741877495.299","26.79",
"1741877496.312","26.78",
"1741877497.302","26.78",
"1741877498.302","26.81",
"1741877499.303","26.78",
"1741877500.304","26.79",
"1741877501.305","26.8",
"1741877502.306","26.79",
"1741877503.307","26.8",
"1741877504.308","26.81",
"1741877505.309","26.79",
"1741877506.31","26.78",
"1741877507.311","26.78",
"1741877508.312","26.79",
"1741877509.313","26.79",
"1741877510.314","26.78",
"1741877511.315","26.79",
"1741877512.316","26.81",
"1741877513.317","26.79",
"1741877514.329","26.79",
"1741877515.332","26.81",
"1741877516.32","26.78",
"1741877517.321","26.81",
"1741877518.322","26.8",
"1741877519.323","26.81",
"1741877520.324","26.8",
"1741877521.327","26.82",
"1741877522.326","26.8",
"1741877523.327","26.81",
"1741877524.328","26.81",
"1741877525.329","26.78",
"1741877526.344","26.82",
"1741877527.332","26.8",
"1741877528.333","26.8",
"1741877529.334","26.82",
"1741877530.335","26.78",
"1741877531.336","26.78",
"1741877532.337","26.81",
"1741877533.338","26.79",
"1741877534.339","26.8",
"1741877535.34","26.8",
"1741877536.341","26.8",
"1741877537.342","26.8",
"1741877538.35","26.79",
"1741877539.344","26.8",
"1741877540.345","26.79",
